id,name,legal_name,website,headquarters_city,founded_year,employee_count,annual_revenue_usd,financing_volume_usd,market_share_percentage,business_model,financing_types,credit_requirements,avg_approval_rate,avg_interest_rate,max_financing_amount_usd,avg_term_months,status,created_at,updated_at
338f1999-1a3c-43e2-8d31-f6076191fecb,Cellucity,Cellucity (Pty) Ltd,https://cellucity.co.za,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,,,2025-10-24 11:27:23.621310
5c0101bc-e330-4cbd-968f-712e83458e6d,PayJoy South Africa,PayJoy South Africa (Pty) Ltd,https://www.payjoy.com/za,Unknown,Unknown,Unknown,Unknown,,,"PayJoy provides smartphone financing/rental services, allowing customers to pay a small deposit and the rest over several months. It also offers a credit line to build credit history, particularly for individuals without a traditional bank account.","['Smartphone financing', 'Phone rental', 'Credit line']","['Valid South African ID / Passport', 'No bank account needed']",,Unknown,Unknown,"[3, 6, 9]",,,2025-10-24 11:27:33.035349
88487866-2191-406c-b0b7-5a07d81def4b,Vodacom South Africa,Vodacom (Pty) Ltd,https://www.vodacom.co.za,Unknown,Unknown,Unknown,Unknown,,,"Telecommunications and Digital Financial Services (offering mobile, internet, smartphones, tablets, laptops, data, airtime, and financial services like loans and advances via VodaPay)","Cash Advance, Airtime Advance, Vouchers Advance, Personal Loans",No credit checks (for PowerFlex plan); other financing types not specified.,,Unknown,Unknown,24-36 months (for device and fibre contracts),,,2025-10-24 11:27:44.119392
1c597777-8cb8-4f1b-b485-bf79ae4206a2,FoneYam,FoneYam (Pty) Ltd,https://foneyam.com,Unknown,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,,,2025-10-24 11:27:45.242351
a30c11ef-2153-425b-a3ce-9748d88cd35c,Standard Bank Connect,Standard Bank Connect (MVNO),https://connect.standardbank.co.za,Unknown,Unknown,Unknown,Unknown,,,"Mobile network services (SIM plans, data, calls), device sales, and acts as a registered credit provider under the Standard Bank Group.","Credit provision, flexible payment options.",Must be a customer with a Standard Bank transactional account to purchase Standard Bank Connect products. Specific credit requirements are not detailed.,,Unknown,Unknown,Unknown,,,2025-10-24 11:27:56.408140
b36c7ae9-f035-43df-a14e-fab6fbfecfdc,MTN South Africa,MTN South Africa (Pty) Ltd,https://www.mtn.co.za,Unknown,Unknown,Unknown,Unknown,,,"Telecommunications service provider, offering mobile phones, mobile data, home internet, fibre services, calls, and SMS.",Monthly contracts/payment plans,Unknown,,Unknown,Unknown,Unknown,,,2025-10-24 11:29:19.210684
1d1160ef-de54-42bf-94b9-f5ac05988fcc,PayJustNow,PayJustNow (Pty) Ltd,https://www.payjustnow.com,Unknown,Unknown,Unknown,Unknown,,,"Buy Now, Pay Later (BNPL) - a flexible payment provider allowing customers to split their purchases into installment payments.","Installment plans (Pay in 3, Pay in 12)","Fast approvals, online ID verification, no paperwork needed.",,Unknown,Unknown,Unknown,,,2025-10-24 11:29:34.898961
7b46a210-596c-4834-aa6c-935923d37168,Payflex,Payflex (Pty) Ltd,https://payflex.co.za,Unknown,Unknown,Unknown,Unknown,,,"Buy Now, Pay Later (BNPL)",Instalments,Unknown,,0%,Unknown,3-4 months,,,2025-10-24 11:29:48.943883
839bc0fa-4c83-411b-b244-8e39a7bdb119,RCS Group,RCS Group (Pty) Ltd,https://rcs.co.za,Unknown,Unknown,Unknown,Unknown,,,"Consumer finance business offering retail credit solutions (store cards, personal loans, digital credit) and various insurance products, also partnering with retailers to facilitate credit programmes.","['Store Cards', 'Personal Loans', 'Cash Loans', 'Insurance Products (Customer Protection, Card Protection, Funeral, Personal Accident, Comprehensive Protection, Critical Illness, Income Protection)', 'Digital Credit (Mobicred)']","Credit assessment ('See if you qualify', 'Get your credit score and full credit report') and identity verification ('Register with your ID' for Credit Gateway) are implied.",,Up to 55 days interest-free on Store Card purchases; other interest rates are Unknown.,Unknown,Unknown,,,2025-10-24 11:30:11.577223
d47d864a-ae9c-4ce8-a9b2-565cec4ea67e,Standard Bank of South Africa Limited,The Standard Bank of South Africa Limited,https://www.standardbank.co.za,Johannesburg,Unknown,Unknown,Unknown,,,"Diversified financial services institution offering personal, business, corporate, and wealth management banking, lending, savings, investment, and insurance products.","['Personal loans', 'Credit cards', 'Vehicle Financing', 'New home loan', 'Existing Home Loan', 'Student loans', 'Business Loans', 'Commercial property financing', 'Specialised financing', 'Pension-Backed Lending', 'Overdraft', 'Energy loan']",Unknown,,Unknown,Unknown,Unknown,,,2025-10-24 11:30:23.905037
